,EMw3,ECw11,EMw1,EMw4,EMw8,MVw12,EMw5,ECw10,MVw13
juv_Amphipoda_non_ID,20,0,0,0,0,0,0,0,0
juv_Amphisamytha_carldarei,124,204,0,0,0,0,140,0,30
Aphotopontius_forcipatus,96,64,9184,1088,0,0,540,0,0
Benthoxynus_spiculifer,0,8,1096,726,312,0,0,2408,0
cf_Neochromadora,376,620,0,0,0,0,316,0,0
cf_Thalassomonhystera,812,204,0,0,0,0,504,0,2840
Collocherides_brychius,200,0,0,0,0,0,0,0,0
Copidognathus_papillatus,336,4,4,0,0,0,150,0,0
juv_Depressigyra_globulus,0,16,0,0,0,0,4,0,0
Harpacticoid_spp,480,1036,0,0,0,0,512,0,10840
juv_Hes_polychaete_non_ID_2,0,4,0,0,0,0,0,0,0
juv_Lepetodrilus_fucensis,3184,1688,20,12,20,0,9456,0,140
Nemertean_non_ID,3632,1252,0,0,8,0,4608,0,0
Ophryotrocha_globopalpata,662,0,0,0,0,0,1764,0,42
juv_Paralvinella_palmiformis,0,0,0,8,0,0,0,98,0
juv_Pardalisca_endeavouri,64,132,0,0,0,0,0,0,0
juv_Protomystides_verenae,0,12,0,0,0,0,0,0,20
juv_Provanna_variabilis,96,72,0,0,0,0,252,0,0
juv_Ridgeia_piscesae,0,0,0,4,0,0,0,59,10
juv_Scoloplos_sp1,8,0,0,0,0,0,28,0,0
Nematode_spB_non_id,56,0,4,0,0,0,12,0,0
Sphaerosyllis__ridgensis,325,3,0,0,0,0,12,0,0
Stygiopontius_quadrispinosus,0,0,0,47530,54796,54912,84,13186,0
Thomontocypris_cf_brightae,549,52,0,0,0,0,4,0,0
Xylocethere_sarrazinae,4,28,0,0,0,0,240,0,1