Sample,Type,Thaumarchaeota_Nitrososphaeria,Euryarchaeota_Methanomicrobia,Euryarchaeota_Thermoplasmata,Euryarchaeota_Thermococci,Archaea,Woesearchaeia,Asgardaeota_Odinarchaeia,Euryarchaeota_Archaeoglobi,Asgardaeota,Crenarchaeota_Thermoprotei,Euryarchaeota_Methanococci,Nanohaloarchaeia,Diapherotrites_Micrarchaeia,Other_Archaea
EMw6,Tubeworms,0.998665148,0,0.000618406,7.54E-06,7.54E-06,0.000610864,0,7.54E-06,0,0,0,0,0,8.30E-05
EMw3,Tubeworms,0.998896737,0,0.00029572,0,1.14E-05,2.27E-05,0,4.55E-05,0.000125112,0,2.27E-05,0,0,0.000489075
ECw11,Tubeworms,0,0,0,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
EMw2,Tubeworms,0.996426282,0,0.000865385,0.002467949,3.21E-05,0,1.60E-05,0,0,0,0,0,0,0.000192308
EMw5,Tubeworms,0.999539463,0,0.00024562,0,0,0,0,0,0,0,0,0,0,0.000102342
EMw1,Tubeworms,0.821211469,0,0.105755884,0.017189803,0.002868832,0.046842131,0.001378099,2.32E-05,0.000331274,0.000655922,8.61E-05,0.000470409,0,0.003186855
ECw9,Tubeworms,0.110513829,0.594372203,0.035796871,0.005495661,0.015285744,0.053785399,0.097810745,0.027628457,0.010480795,0.008829094,0.02804889,0.002402475,0.002282351,0.007267486
MVw13,Tubeworms,0.00197008,0.887417853,0.024820128,0.029014337,0.00236793,4.79E-06,0.031118631,1.92E-05,0.001533882,0.014226756,0,0.002147435,0,0.00530148
MVw12,Tubeworms,0.2902887,0.418844937,0.048418648,0.013982066,0.008901259,0.092793656,0.026244273,0.000512019,0.029395161,0.01828828,0.013982066,0.013693235,0,0.0246557
ECw10,Tubeworms,0.054927947,0.171011137,0.194563091,0.227336234,0.027942996,0,0.108897848,0.112690112,0.011736058,0.04147539,0.030497785,0.009021596,0,0.009899804
EMw7,Tubeworms,0.012502553,7.29E-06,0.591150468,0.026631751,0.210522861,0.075146617,0.006944242,0.001721472,0.028024976,0.001809004,0.000889913,0.020810842,0.019140431,0.004697575
EMw4,Tubeworms,0.024147682,1.06E-05,0.135512979,0.435579703,0.283767038,0.032737055,0.005115496,0.005867463,0.00408816,0.009489615,0.011226554,0.034484585,0.004596532,0.013376545
EMw8,Tubeworms,0.014020122,0,0.727081544,0.085256163,0.050176239,0.051400531,0.020240317,0.014385435,0.0160639,0.002201752,0.007641954,0.004373883,0.00011848,0.007039681
EMf3,Diffuse,0.507591189,0,0.490875874,0.000199492,0.000293988,3.15E-05,3.15E-05,2.10E-05,0,5.25E-05,2.10E-05,9.45E-05,3.15E-05,0.000755969
ECf11,Diffuse,0.878338642,0.001592747,0.103365188,0.000673854,0.002205342,0.000796373,0.000265458,0.00118435,0,0.003205914,0.000163359,0.002348281,0.000306297,0.005554194
EMf2,Diffuse,0.446262056,9.85E-05,0.550683042,0.00046809,0.00046809,2.46E-05,8.62E-05,0.00033259,2.46E-05,0.000246363,9.85E-05,0.000172454,0,0.001034725
ECf9,Diffuse,0.602816336,0.00044066,0.387936286,0.001846884,0.000907241,0.000129606,9.72E-05,0.001023886,0,0.000712832,0.000142566,6.48E-06,9.07E-05,0.003849294
MVf12,Diffuse,0.925114875,3.12E-05,0.060983126,0.011116919,0.00011702,0,0,0,0,0.000631909,0,0,0,0.002004946
EMf7,Diffuse,0.843925548,0,0.147519778,0.002123666,0.001203522,1.67E-05,1.67E-05,0.000556754,6.67E-06,0.001603585,0,0.000763453,0,0.002263688
EMf1,Diffuse,0.750327414,0,0.24666038,5.24E-05,0.000445283,2.62E-05,7.86E-05,0,0,0,2.62E-05,0.000235738,0,0.002147834
bkEM,Bkgd,0.769459028,0,0.228212737,0,7.30E-05,0,0,0,0,9.13E-06,0,3.65E-05,3.65E-05,0.00217302
bkEC,Bkgd,0.725395719,0.000156102,0.271575902,3.12E-05,8.33E-05,1.04E-05,0,6.24E-05,0,1.04E-05,0,0,2.08E-05,0.002653734
bkMV,Bkgd,0.589106785,0.001279344,0.403091898,0,2.68E-05,0,0,0.001842972,0,1.79E-05,0,0,0,0.004616376