Sample,Other_Bacteroidetes,Flavobacteriales,Crocinitomix,Aquibacter,Spongiiferula,Actibacter,Cyclobacteriaceae,Sphingobacteriales,Flavobacteriales_NS9_marine_group,Cryomorphaceae,clade_BD2_2,Maritimimonas,Ichthyobacterium,Bacteroidales,Marinifilaceae,Lentimicrobiaceae,Marinifilum,unclassified_Bacteroidia,clade_VC2.1_Bac22,Flavobacteriaceae,Crocinitomicaceae,Carboxylicivirga
EMw6,0.017433973,0.005528376,0.000783549,0.000500601,0,0.007204301,0.006790761,0.000304714,6.52958E-05,0.014843907,0.001305916,2.17653E-05,0.000108826,0.00128415,0.003221258,0.003895981,0.034780884,0.006660169,0.003656564,0.070127665,0.02479063,0.00087061
EMw3,0.020319092,0.003890498,0.001751646,0.00625061,0,0.000737535,0.003429538,0.000239699,0.001143179,0.00750442,0,0,3.68768E-05,5.53151E-05,0.000331891,0.000885042,0.007412228,0.001991345,0.000239699,0.076095184,0.004923047,7.37535E-05
ECw11,0.003992974,0.005027126,0.000229811,8.61793E-05,0,0.004797315,0.004194059,0.000172359,0.000201085,0.001579954,0.000718161,0.01611553,8.61793E-05,0.002585379,0.000459623,0.012467273,0,0.005888919,0.014075953,0.021228835,0.237768699,0.005601655
EMw2,0.012961218,0.003695716,0.000720796,0.000157265,0,0.002568654,0.008007386,1.31054E-05,2.62108E-05,0.003158396,3.93161E-05,0.000498004,2.62108E-05,0.000183475,0.002463811,0.000471794,6.55269E-05,0.004154405,0.000498004,0.037048902,0.00623816,0.001022219
EMw5,0.011535054,0.003050135,0.000388199,0.000637755,0,0.002356922,0.008956304,0,0.000471384,0.00404836,5.5457E-05,0.000138642,2.77285E-05,0.000471384,2.77285E-05,0.000194099,0.001552796,0.003022406,5.5457E-05,0.08371233,0.002661936,0.000748669
ECw9,0.005795429,0.001791314,0.000470659,0,5.61981E-05,0.000196693,0.005451215,0.001187185,1.40495E-05,0.003301638,0.002627261,0.003083871,0.000182644,0.004530972,0.001004541,0.009982187,4.91733E-05,0.008022278,0.036865952,0.025520961,0.003666926,0.019613136
MVw13,0.00487804,0.000696863,0,0,0,6.96863E-05,0.004982569,0.000801392,0,0.000801392,0.003693373,0.000383275,0,0.017107981,0.00111498,0.005156785,0.044494689,0.009059216,0.008362353,0.004320549,0.000278745,0.095505045
MVw12,0.00230889,0.003099899,0.005879119,0,0.006841157,2.13786E-05,0.000171029,0.003506093,2.13786E-05,0.00431848,0.003955044,0.000427572,0.007803195,0.00138961,0.001047552,0.00570809,0.001133067,0.006520478,0.024050942,0.064926855,0.000128272,0.002586812
ECw10,0.007709218,0.000277977,0,0,0,0,0.004614412,0.001371351,0,1.85318E-05,0.002242345,0.008135449,0.004151118,0.01200859,0.00031504,0.021904558,1.85318E-05,0.026667224,0.030521833,0.002890957,1.85318E-05,0.392929224
EMw7,0.005291608,0.002727465,0,0,0,0,9.79927E-05,0.010191245,0,0,0.005928561,0.00292345,0.010566884,0.006875824,0.001192245,0.0279116,0.000195985,0.050564256,0.054777944,0.001224909,1.63321E-05,0.145715212
EMw1,0.009425901,0.002124643,0.000545834,0.000187814,3.52151E-05,0.001672716,0.00178423,0.001578809,0.000240636,0.003228048,0.003544984,0.001977913,0.001678585,0.002840682,0.031728778,0.016457176,0.006250675,0.019561972,0.019743916,0.01850552,0.005922001,0.106044315
EMw4,0.004346694,0.000266464,0,0,1.6654E-05,0,0.000116578,0.00349734,0,8.327E-05,0.005479166,0.00174867,0.002214982,0.001765324,0.001182434,0.036622144,4.9962E-05,0.011940917,0.018535901,0.00108251,3.3308E-05,0.050644811
EMw8,0.004989375,0.000767596,2.95229E-05,0,2.95229E-05,0,0.00070855,0.00947686,0,0.000177138,0.015676675,0.0046351,0.016267133,0.0046351,0.001786137,0.025124012,1.47615E-05,0.026806819,0.044313915,0.003808458,0,0.073674467
EMf3,0.003917904,0.00028296,0,0,0,0,0,0,0.001327734,0.000478855,0,0,0,2.17661E-05,4.35323E-05,2.17661E-05,6.52984E-05,0.000108831,0,0.000370024,0,2.17661E-05
ECf11,0.008776592,0.000794073,0.00025076,0,8.35866E-05,0,0.001086626,8.35866E-05,0.002632977,0.002298631,0.000794073,0.00037614,0.000167173,0.000710486,0.003761396,0.001838905,0.002089665,0.001964285,0.002340424,0.002883737,0.000292553,0.002424011
EMf1,0.005452174,6.49068E-05,9.73602E-05,0,0.00019472,0,0.00019472,3.24534E-05,0.001200776,0.000421894,3.24534E-05,3.24534E-05,6.49068E-05,3.24534E-05,9.73602E-05,0.000259627,0,0.000421894,0.000421894,0.000908696,6.49068E-05,0.000421894
EMf7,0.017142611,0.000439554,6.27934E-05,0,9.41902E-05,0,6.27934E-05,6.27934E-05,0.004018781,0.000533744,0.000816315,0.00200939,0.004332748,0.000439554,0.000125587,0.001883803,6.27934E-05,0.001695423,0.000879108,0.002072184,0,0.001412853
MVf12,0.001378724,0.001991491,0.004595748,0.000306383,0.000357447,0.000408511,5.10639E-05,0.000204255,0.000612766,0.005617025,0.000408511,5.10639E-05,0.000255319,0.000153192,0.000306383,0.005361706,5.10639E-05,0.004034045,0.012817031,0.024459592,0.003319151,0.000408511
EMf2,0.006977965,0.000253744,0,0,0,2.53744E-05,0.000101498,0,0.002512067,0.00063436,0.000152247,0.000101498,0,0.000177621,0,0.000202995,2.53744E-05,0.000405991,0.000608986,0.000710484,7.61233E-05,0.000761233
ECf9,0.003160142,0.000278836,0.000371781,0,9.29453E-05,0,0.000216872,0.000712581,0.000619636,0.00086749,0.000898472,0.000216872,0.000619636,0.000681599,0.0003408,0.001146326,6.19636E-05,0.001673016,0.004151559,0.000960435,3.09818E-05,0.003315051
bkEC,0.00124847,3.56706E-05,3.56706E-05,0,0,0,3.56706E-05,0,0.001355482,0.000142682,0,3.56706E-05,0,0,3.56706E-05,0.000249694,7.13411E-05,0.000107012,0.000107012,0.000142682,3.56706E-05,0
bkEM,0.002504731,2.17803E-05,2.17803E-05,0,0,0,4.35605E-05,0.000152462,0.002657193,0.000174242,0,0,4.35605E-05,0,0,0.000588067,0,0.000152462,2.17803E-05,0.000609848,4.35605E-05,0
bkMV,0.006997478,0.000574672,0,0.000270434,0,0,0,0.010715945,0.01162866,0.001284561,0,0,0,0,0,0.000642281,0,0.000371847,0,0.00581433,0,0