,Size_class,Sample_type
EMw3bkm,micro,bk
EMw3bkpn,pico_nano,bk
EMw6bkm,micro,bk
EMw6bkpn,pico_nano,bk
EMw6dm,micro,d
EMw6dpn,pico_nano,d
ECw11dm,micro,d
ECw11dpn,pico_nano,d
EMw1bkm,micro,bk
EMw1bkpn,pico_nano,bk
EMw1dm,micro,d
EMw1dpn,pico_nano,d
EMw4dm,micro,d
EMw4dpn,pico_nano,d
EMw7dm,micro,d
EMw7dpn,pico_nano,d
EMw8dm,micro,d
EMw8dpn,pico_nano,d
MVw12bkm,micro,bk
MVw12bkpn,pico_nano,bk
EMw2dm,micro,d
EMw2dpn,pico_nano,d
EMw5bkm,micro,bk
EMw5bkpn,pico_nano,bk
ECw9bkm,micro,bk
ECw9bkpn,pico_nano,bk
ECw10bkm,micro,bk
ECw10bkpn,pico_nano,bk
MVw13bkm,micro,bk
MVw13bkpn,pico_nano,bk